n_day,cumul_low_bound,cumul_upper_bound
1,0,82.0569246031746
2,0,164.1138492063492
3,0,246.17077380952378
4,0,328.2276984126984
5,0,410.28462301587297
6,0,492.34154761904756
7,0,574.3984722222222
8,0,656.4553968253967
9,0,738.5123214285713
10,46.71720306513409,820.5692460317459
11,93.43440613026819,902.6261706349205
12,140.15160919540227,984.6830952380951
13,186.86881226053637,1066.7400198412697
14,233.58601532567047,1148.7969444444443
15,280.30321839080455,1230.853869047619
16,327.0204214559386,1312.9107936507935
17,373.7376245210727,1394.967718253968
18,420.45482758620676,1477.0246428571427
19,467.17203065134083,1559.0815674603173
20,513.8892337164749,1641.1384920634919
21,560.606436781609,1723.1954166666665
22,607.323639846743,1805.252341269841
23,654.0408429118771,1887.3092658730154
24,700.7580459770112,1969.3661904761898
25,747.4752490421453,2051.4231150793644
26,794.1924521072793,2133.480039682539
27,840.9096551724134,2215.536964285713
28,887.6268582375475,2297.5938888888877
29,934.3440613026816,2379.6508134920623
30,981.0612643678156,2461.707738095237
31,1027.7784674329498,2543.7646626984115
32,1074.4956704980839,2625.821587301586
33,1121.212873563218,2707.8785119047607
34,1167.930076628352,2789.9354365079353
35,1214.647279693486,2871.99236111111
36,1261.3644827586202,2954.0492857142845
37,1308.0816858237542,3036.106210317459
38,1354.7988888888883,3118.1631349206336
39,1401.5160919540224,3200.2200595238082
40,1448.2332950191565,3282.276984126983
41,1494.9504980842905,3364.3339087301574
42,1541.6677011494246,3446.390833333332
43,1588.3849042145587,3528.4477579365066
44,1635.1021072796927,3610.504682539681
45,1681.8193103448268,3692.5616071428562
46,1728.536513409961,3774.6185317460313
47,1775.253716475095,3856.675456349206
48,1821.970919540229,3938.7323809523805
49,1868.688122605363,4020.7893055555555
50,1915.4053256704972,4102.846230158731
51,1962.1225287356312,4184.903154761905
52,2008.8397318007653,4266.96007936508
53,2089.2281848658995,4349.017003968254
54,2169.616637931034,4431.07392857143
55,2250.005090996168,4513.1308531746045
56,2330.393544061302,4595.187777777779
57,2410.7819971264357,4677.244702380955
58,2491.17045019157,4759.301626984129
59,2571.558903256704,4841.358551587304
60,2651.947356321838,4923.415476190478
61,2732.335809386972,5005.472400793653
62,2766.0070593869723,5087.529325396828
63,2799.678309386972,5169.586250000002
64,2833.349559386972,5251.643174603178
65,2867.020809386972,5333.700099206351
66,2900.6920593869722,5415.757023809527
67,2934.363309386972,5497.8139484127005
68,2968.034559386972,5579.870873015876
69,3001.705809386972,5661.92779761905
70,3035.377059386972,5743.984722222225
71,3069.048309386972,5826.041646825399
72,3102.719559386972,5908.098571428574
73,3136.3908093869723,5990.155496031748
74,3216.779262452106,6072.212420634924
75,3297.16771551724,6154.269345238097
76,3377.556168582374,6236.326269841273
77,3457.944621647508,6318.383194444446
78,3538.3330747126424,6400.440119047622
79,3618.7215277777764,6482.497043650796
80,3699.1099808429103,6564.553968253971
81,3779.4984339080447,6646.610892857145
82,3859.8868869731787,6728.66781746032
83,3940.2753400383126,6810.724742063494
84,4020.6637931034466,6892.7816666666695
85,4101.052246168581,6974.838591269843
86,4181.440699233715,7056.895515873017
87,4261.829152298849,7138.952440476191
88,4342.217605363983,7221.009365079366
89,4422.606058429117,7303.06628968254
90,4502.994511494252,7385.123214285713
91,4583.382964559386,7467.180138888888
92,4663.77141762452,7549.237063492063
93,4744.159870689655,7631.293988095236
94,4824.548323754789,7713.35091269841
95,4904.936776819923,7795.407837301585
96,4985.325229885057,7877.464761904759
97,5065.713682950191,7959.521686507933
