date, forward_price
"01/01/20", 11.825
"02/01/20", 11.825
"03/01/20", 11.825
"04/01/20", 11.825
"05/01/20", 11.825
"06/01/20", 11.825
"07/01/20", 11.825
"08/01/20", 11.825
"09/01/20", 11.825
"10/01/20", 11.825
"11/01/20", 11.825
"12/01/20", 11.825
"13/01/20", 11.825
"14/01/20", 11.825
"15/01/20", 11.825
"16/01/20", 11.825
"17/01/20", 11.825
"18/01/20", 11.825
"19/01/20", 11.825
"20/01/20", 11.825
"21/01/20", 11.825
"22/01/20", 11.825
"23/01/20", 11.825
"24/01/20", 11.825
"25/01/20", 11.825
"26/01/20", 11.825
"27/01/20", 11.825
"28/01/20", 11.825
"29/01/20", 11.825
"30/01/20", 11.825
"31/01/20", 11.825
"01/02/20", 12.1
"02/02/20", 12.1
"03/02/20", 12.1
"04/02/20", 12.1
"05/02/20", 12.1
"06/02/20", 12.1
"07/02/20", 12.1
"08/02/20", 12.1
"09/02/20", 12.1
"10/02/20", 12.1
"11/02/20", 12.1
"12/02/20", 12.1
"13/02/20", 12.1
"14/02/20", 12.1
"15/02/20", 12.1
"16/02/20", 12.1
"17/02/20", 12.1
"18/02/20", 12.1
"19/02/20", 12.1
"20/02/20", 12.1
"21/02/20", 12.1
"22/02/20", 12.1
"23/02/20", 12.1
"24/02/20", 12.1
"25/02/20", 12.1
"26/02/20", 12.1
"27/02/20", 12.1
"28/02/20", 12.1
"29/02/20", 12.1
"01/03/20", 12
"02/03/20", 12
"03/03/20", 12
"04/03/20", 12
"05/03/20", 12
"06/03/20", 12
"07/03/20", 12
"08/03/20", 12
"09/03/20", 12
"10/03/20", 12
"11/03/20", 12
"12/03/20", 12
"13/03/20", 12
"14/03/20", 12
"15/03/20", 12
"16/03/20", 12
"17/03/20", 12
"18/03/20", 12
"19/03/20", 12
"20/03/20", 12
"21/03/20", 12
"22/03/20", 12
"23/03/20", 12
"24/03/20", 12
"25/03/20", 12
"26/03/20", 12
"27/03/20", 12
"28/03/20", 12
"29/03/20", 12
"30/03/20", 12
"31/03/20", 12
"01/04/20", 11.7
"02/04/20", 11.7
"03/04/20", 11.7
"04/04/20", 11.7
"05/04/20", 11.7
"06/04/20", 11.7
"07/04/20", 11.7
"08/04/20", 11.7
"09/04/20", 11.7
"10/04/20", 11.7
"11/04/20", 11.7
"12/04/20", 11.7
"13/04/20", 11.7
"14/04/20", 11.7
"15/04/20", 11.7
"16/04/20", 11.7
"17/04/20", 11.7
"18/04/20", 11.7
"19/04/20", 11.7
"20/04/20", 11.7
"21/04/20", 11.7
"22/04/20", 11.7
"23/04/20", 11.7
"24/04/20", 11.7
"25/04/20", 11.7
"26/04/20", 11.7
"27/04/20", 11.7
"28/04/20", 11.7
"29/04/20", 11.7
"30/04/20", 11.7
"01/05/20", 11.55
"02/05/20", 11.55
"03/05/20", 11.55
"04/05/20", 11.55
"05/05/20", 11.55
"06/05/20", 11.55
"07/05/20", 11.55
"08/05/20", 11.55
"09/05/20", 11.55
"10/05/20", 11.55
"11/05/20", 11.55
"12/05/20", 11.55
"13/05/20", 11.55
"14/05/20", 11.55
"15/05/20", 11.55
"16/05/20", 11.55
"17/05/20", 11.55
"18/05/20", 11.55
"19/05/20", 11.55
"20/05/20", 11.55
"21/05/20", 11.55
"22/05/20", 11.55
"23/05/20", 11.55
"24/05/20", 11.55
"25/05/20", 11.55
"26/05/20", 11.55
"27/05/20", 11.55
"28/05/20", 11.55
"29/05/20", 11.55
"30/05/20", 11.55
"31/05/20", 11.55
"01/06/20", 11.4
"02/06/20", 11.4
"03/06/20", 11.4
"04/06/20", 11.4
"05/06/20", 11.4
"06/06/20", 11.4
"07/06/20", 11.4
"08/06/20", 11.4
"09/06/20", 11.4
"10/06/20", 11.4
"11/06/20", 11.4
"12/06/20", 11.4
"13/06/20", 11.4
"14/06/20", 11.4
"15/06/20", 11.4
"16/06/20", 11.4
"17/06/20", 11.4
"18/06/20", 11.4
"19/06/20", 11.4
"20/06/20", 11.4
"21/06/20", 11.4
"22/06/20", 11.4
"23/06/20", 11.4
"24/06/20", 11.4
"25/06/20", 11.4
"26/06/20", 11.4
"27/06/20", 11.4
"28/06/20", 11.4
"29/06/20", 11.4
"30/06/20", 11.4
"01/07/20", 11.85
"02/07/20", 11.85
"03/07/20", 11.85
"04/07/20", 11.85
"05/07/20", 11.85
"06/07/20", 11.85
"07/07/20", 11.85
"08/07/20", 11.85
"09/07/20", 11.85
"10/07/20", 11.85
"11/07/20", 11.85
"12/07/20", 11.85
"13/07/20", 11.85
"14/07/20", 11.85
"15/07/20", 11.85
"16/07/20", 11.85
"17/07/20", 11.85
"18/07/20", 11.85
"19/07/20", 11.85
"20/07/20", 11.85
"21/07/20", 11.85
"22/07/20", 11.85
"23/07/20", 11.85
"24/07/20", 11.85
"25/07/20", 11.85
"26/07/20", 11.85
"27/07/20", 11.85
"28/07/20", 11.85
"29/07/20", 11.85
"30/07/20", 11.85
"31/07/20", 11.85
"01/08/20", 11.85
"02/08/20", 11.85
"03/08/20", 11.85
"04/08/20", 11.85
"05/08/20", 11.85
"06/08/20", 11.85
"07/08/20", 11.85
"08/08/20", 11.85
"09/08/20", 11.85
"10/08/20", 11.85
"11/08/20", 11.85
"12/08/20", 11.85
"13/08/20", 11.85
"14/08/20", 11.85
"15/08/20", 11.85
"16/08/20", 11.85
"17/08/20", 11.85
"18/08/20", 11.85
"19/08/20", 11.85
"20/08/20", 11.85
"21/08/20", 11.85
"22/08/20", 11.85
"23/08/20", 11.85
"24/08/20", 11.85
"25/08/20", 11.85
"26/08/20", 11.85
"27/08/20", 11.85
"28/08/20", 11.85
"29/08/20", 11.85
"30/08/20", 11.85
"31/08/20", 11.85
"01/09/20", 11.85
"02/09/20", 11.85
"03/09/20", 11.85
"04/09/20", 11.85
"05/09/20", 11.85
"06/09/20", 11.85
"07/09/20", 11.85
"08/09/20", 11.85
"09/09/20", 11.85
"10/09/20", 11.85
"11/09/20", 11.85
"12/09/20", 11.85
"13/09/20", 11.85
"14/09/20", 11.85
"15/09/20", 11.85
"16/09/20", 11.85
"17/09/20", 11.85
"18/09/20", 11.85
"19/09/20", 11.85
"20/09/20", 11.85
"21/09/20", 11.85
"22/09/20", 11.85
"23/09/20", 11.85
"24/09/20", 11.85
"25/09/20", 11.85
"26/09/20", 11.85
"27/09/20", 11.85
"28/09/20", 11.85
"29/09/20", 11.85
"30/09/20", 11.85
"01/10/20", 15.65
"02/10/20", 15.65
"03/10/20", 15.65
"04/10/20", 15.65
"05/10/20", 15.65
"06/10/20", 15.65
"07/10/20", 15.65
"08/10/20", 15.65
"09/10/20", 15.65
"10/10/20", 15.65
"11/10/20", 15.65
"12/10/20", 15.65
"13/10/20", 15.65
"14/10/20", 15.65
"15/10/20", 15.65
"16/10/20", 15.65
"17/10/20", 15.65
"18/10/20", 15.65
"19/10/20", 15.65
"20/10/20", 15.65
"21/10/20", 15.65
"22/10/20", 15.65
"23/10/20", 15.65
"24/10/20", 15.65
"25/10/20", 15.65
"26/10/20", 15.65
"27/10/20", 15.65
"28/10/20", 15.65
"29/10/20", 15.65
